Source,Target,Weight,cooccur_count
cape,film,3.2746223801090055,4
lighting,still life photography,3.2839602446883416,2
lens flare,midnight,3.2839602446883416,2
hero,knight,3.321928094887362,2
mythical creature,snout,3.321928094887362,2
facial expression,portrait photography,3.3510744405468786,8
beauty,black,3.380821783940931,2
blue,lips,3.380821783940931,2
neon sign,night,3.380821783940931,2
galaxy,night,3.380821783940931,2
evening,tourist attraction,3.380821783940931,2
black,working animal,3.380821783940931,2
heat,orange,3.390875448604854,8
dog,snout,3.3923174227787602,7
reflection,sunrise,3.4214637684382763,2
astronomy,atmospheric phenomenon,3.4214637684382763,2
demon,mythology,3.4214637684382763,2
atmospheric phenomenon,sunrise,3.4214637684382763,2
close-up,red,3.4214637684382763,2
graphic design,graphics,3.4214637684382767,14
fractal art,graphics,3.4214637684382767,3
graphics,squirrel,3.4214637684382767,2
digital compositing,science,3.4352695679633074,6
snout,working animal,3.4918530963296748,6
domestic short-haired cat,snout,3.4918530963296748,3
cloud,sunset,3.5063526660247897,3
lens flare,symmetry,3.5063526660247897,2
astronomical object,walking,3.5283789723547887,2
robot,technology,3.550746785383243,5
evening,shadow,3.550746785383243,3
display device,technology,3.550746785383243,3
darkness,shadow,3.550746785383243,2
beauty,costume,3.550746785383243,2
fiction,yoda,3.550746785383243,2
animated cartoon,squirrel,3.550746785383243,2
animated cartoon,dragon ball,3.550746785383243,2
facial expression,hairstyle,3.5734668618833267,4
black,long hair,3.5734668618833267,2
cryptid,mask,3.5734668618833267,2
action-adventure game,armour,3.5734668618833267,2
astronomical object,universe,3.5872726614083574,5
batman,film,3.5965504749963677,4
film,justice league,3.5965504749963677,4
dragon ball,film,3.5965504749963677,2
digital compositing,pc game,3.6279146459057032,3
cat,fur,3.6438561897747244,2
dusk,horizon,3.6438561897747244,2
evening,turret,3.6438561897747244,2
dusk,walking,3.6438561897747244,2
purple,yellow,3.6438561897747244,2
evening,walking,3.6438561897747244,2
dusk,turret,3.6438561897747244,2
astronomy,moonlight,3.6438561897747244,2
breastplate,hero,3.643856189774725,3
hero,personal protective equipment,3.643856189774725,2
snout,whiskers,3.665882496104724,11
armour,mecha,3.6730025354342413,5
action figure,technology,3.6762776674671023,6
lens flare,shadow,3.6762776674671023,3
evening,midnight,3.743391863325639,3
midnight,shadow,3.743391863325639,2
eye shadow,portrait photography,3.743391863325639,2
lips,portrait photography,3.743391863325639,2
eyebrow,long hair,3.743391863325639,2
portrait photography,temple,3.743391863325639,2
dragon,graphic design,3.743391863325639,2
costume,long hair,3.743391863325639,2
chin,portrait photography,3.743391863325639,2
mythology,supernatural creature,3.743391863325639,2
facial expression,wrinkle,3.7433918633256393,3
chin,facial expression,3.7433918633256393,3
armour,supernatural creature,3.7433918633256393,3
cloud,sunlight,3.7693870718585836,2
cloud,nature,3.7693870718585836,2
cloud,turret,3.7693870718585836,2
cloud,horizon,3.7693870718585836,2
gadget,technology,3.813781191217037,3
facial expression,smile,3.83650126771712,4
orange,red sky at morning,3.850307067242151,2
orange,skull,3.850307067242151,2
orange,stratovolcano,3.850307067242151,2
eyelash,no expression,3.850307067242151,2
concert,orange,3.850307067242151,2
fissure vent,orange,3.850307067242151,2
beak,wing,3.8503070672421513,3
lava,orange,3.8503070672421513,3
lava dome,orange,3.8503070672421513,3
orange,types of volcanic eruptions,3.8503070672421513,3
orange,volcanic field,3.8503070672421513,3
atmospheric phenomenon,cloud,3.868922745409498,3
cat,dog,3.9068905956085183,2
